"ID","RecordTypeId","Account Name","Type","Industry","Ownership","Region","State/Territory Abbrev","Website","Website_Research_Link__c","Website_Verified_Manually__c","Website_Verified_On__c","Website_Verified_By__c","Website_Verification_Notes__c","Procurement_Website_Primary__c","Procurement_Website_2__c","Procurement_Verified_Manually__c","Procurement_Verified_On__c","Procurement_Verification_Notes__c","Procurement_Source_Description__c","Billing Street","Billing City","Billing State/Province","Billing Postal Code","Billing Country","Phone","Description","STATUS"
"001V400000dOSj4IAG","012V400000176JRIAY","State of Alabama","Government","Government","Government","Alabama","AL","","https://www.usa.gov/states/alabama","False","","","","https://procurement.staars.alabama.gov","","False","","","Alabama State Procurement (STAARS)","","","AL","","United States","","Top-level government account record for Alabama.","Item Created"
"001V400000dOSj5IAG","012V400000176JRIAY","State of Alaska","Government","Government","Government","Alaska","AK","","https://www.usa.gov/states/alaska","False","","","","https://aws.state.ak.us/OnlinePublicNotices","","False","","","Alaska Online Public Notices for Solicitations","","","AK","","United States","","Top-level government account record for Alaska.","Item Created"
"001V400000dOSj6IAG","012V400000176JRIAY","State of Arizona","Government","Government","Government","Arizona","AZ","","https://www.usa.gov/states/arizona","False","","","","https://app.az.gov","","False","","","Arizona Procurement Portal (APP)","","","AZ","","United States","","Top-level government account record for Arizona.","Item Created"
"001V400000dOSj7IAG","012V400000176JRIAY","State of Arkansas","Government","Government","Government","Arkansas","AR","","https://www.usa.gov/states/arkansas","False","","","","https://arbuy.arkansas.gov","","False","","","ARBuy eProcurement System","","","AR","","United States","","Top-level government account record for Arkansas.","Item Created"
"001V400000dOSj8IAG","012V400000176JRIAY","State of California","Government","Government","Government","California","CA","","https://www.usa.gov/states/california","False","","","","https://caleprocure.ca.gov","","False","","","Cal eProcure – CA State Contracts Register","","","CA","","United States","","Top-level government account record for California.","Item Created"
"001V400000dOSj9IAG","012V400000176JRIAY","State of Colorado","Government","Government","Government","Colorado","CO","","https://www.usa.gov/states/colorado","False","","","","https://codpa-vss.cloud.cgifederal.com/webapp/PRDVSS1X1/AltSelfService","","False","","","Colorado VSS (Vendor Self-Service)","","","CO","","United States","","Top-level government account record for Colorado.","Item Created"
"001V400000dOSjAIAW","012V400000176JRIAY","State of Connecticut","Government","Government","Government","Connecticut","CT","","https://www.usa.gov/states/connecticut","False","","","","https://portal.ct.gov/DAS/CTSource","","False","","","CTsource – State Contracting Portal","","","CT","","United States","","Top-level government account record for Connecticut.","Item Created"
"001V400000dOSjBIAW","012V400000176JRIAY","State of Delaware","Government","Government","Government","Delaware","DE","","https://www.usa.gov/states/delaware","False","","","","http://bids.delaware.gov","","False","","","MyMarketplace – Delaware Bids","","","DE","","United States","","Top-level government account record for Delaware.","Item Created"
"001V400000dOSjCIAW","012V400000176JRIAY","State of Florida","Government","Government","Government","Florida","FL","","https://www.usa.gov/states/florida","False","","","","http://myflorida.com/apps/vbs/vbs_www.main_menu","","False","","","Florida Vendor Bid System (VBS)","","","FL","","United States","","Top-level government account record for Florida.","Item Created"
"001V400000dOSjDIAW","012V400000176JRIAY","State of Georgia","Government","Government","Government","Georgia","GA","","https://www.usa.gov/states/georgia","False","","","","https://ssl.doas.state.ga.us/gpr","","False","","","Georgia Procurement Registry (GPR)","","","GA","","United States","","Top-level government account record for Georgia.","Item Created"
"001V400000dOSjEIAW","012V400000176JRIAY","State of Hawaii","Government","Government","Government","Hawaii","HI","","https://www.usa.gov/states/hawaii","False","","","","https://hands.ehawaii.gov/hands","","False","","","HANDS – Hawaii Awards & Notices Data System","","","HI","","United States","","Top-level government account record for Hawaii.","Item Created"
"001V400000dOSjFIAW","012V400000176JRIAY","State of Idaho","Government","Government","Government","Idaho","ID","","https://www.usa.gov/states/idaho","False","","","","https://purchasing.idaho.gov/iprosolicitations/","","False","","","IPRO – Idaho eProcurement System","","","ID","","United States","","Top-level government account record for Idaho.","Item Created"
"001V400000dOSjGIAW","012V400000176JRIAY","State of Illinois","Government","Government","Government","Illinois","IL","","https://www.usa.gov/states/illinois","False","","","","https://www.bidbuy.illinois.gov","","False","","","BidBuy – Illinois eProcurement","","","IL","","United States","","Top-level government account record for Illinois.","Item Created"
"001V400000dOSjHIAW","012V400000176JRIAY","State of Indiana","Government","Government","Government","Indiana","IN","","https://www.usa.gov/states/indiana","False","","","","https://supplierportal.in.gov","","False","","","Indiana Supplier Portal (IDOA)","","","IN","","United States","","Top-level government account record for Indiana.","Item Created"
"001V400000dOSjIIAW","012V400000176JRIAY","State of Iowa","Government","Government","Government","Iowa","IA","","https://www.usa.gov/states/iowa","False","","","","https://bidopportunities.iowa.gov","","False","","","Iowa Bid Opportunities Portal","","","IA","","United States","","Top-level government account record for Iowa.","Item Created"
"001V400000dOSjJIAW","012V400000176JRIAY","State of Kansas","Government","Government","Government","Kansas","KS","","https://www.usa.gov/states/kansas","False","","","","http://admin.ks.gov/offices/procurement-and-contracts","","False","","","Kansas Procurement Portal","","","KS","","United States","","Top-level government account record for Kansas.","Item Created"
"001V400000dOSjKIAW","012V400000176JRIAY","State of Kentucky","Government","Government","Government","Kentucky","KY","","https://www.usa.gov/states/kentucky","False","","","","https://finance.ky.gov/services/eprocurement","","False","","","Kentucky eProcurement (Vendor Self-Service)","","","KY","","United States","","Top-level government account record for Kentucky.","Item Created"
"001V400000dOSjLIAW","012V400000176JRIAY","State of Louisiana","Government","Government","Government","Louisiana","LA","","https://www.usa.gov/states/louisiana","False","","","","https://wwwcfprd.doa.louisiana.gov/osp/lapac/pubMain.cfm","","False","","","LaPAC – Louisiana Procurement & Contract Network","","","LA","","United States","","Top-level government account record for Louisiana.","Item Created"
"001V400000dOSjMIAW","012V400000176JRIAY","State of Maine","Government","Government","Government","Maine","ME","","https://www.usa.gov/states/maine","False","","","","https://www.maine.gov/dafs/bbm/procurementservices/vendors/rfps","","False","","","Maine Division of Procurement Services – RFPs","","","ME","","United States","","Top-level government account record for Maine.","Item Created"
"001V400000dOSjNIAW","012V400000176JRIAY","State of Maryland","Government","Government","Government","Maryland","MD","","https://www.usa.gov/states/maryland","False","","","","https://emma.maryland.gov","","False","","","eMaryland Marketplace Advantage (eMMA)","","","MD","","United States","","Top-level government account record for Maryland.","Item Created"
"001V400000dOSjOIAW","012V400000176JRIAY","State of Massachusetts","Government","Government","Government","Massachusetts","MA","","https://www.usa.gov/states/massachusetts","False","","","","https://www.commbuys.com","","False","","","COMMBUYS – MA Procurement Record System","","","MA","","United States","","Top-level government account record for Massachusetts.","Item Created"
"001V400000dOSjPIAW","012V400000176JRIAY","State of Michigan","Government","Government","Government","Michigan","MI","","https://www.usa.gov/states/michigan","False","","","","https://sigma.michigan.gov/webapp/PRDVSS2X1/AltSelfService","","False","","","SIGMA VSS – Michigan Bids","","","MI","","United States","","Top-level government account record for Michigan.","Item Created"
"001V400000dOSjQIAW","012V400000176JRIAY","State of Minnesota","Government","Government","Government","Minnesota","MN","","https://www.usa.gov/states/minnesota","False","","","","https://supplier.systems.state.mn.us/psc/supreg/SUPPLIER/ERP","","False","","","Minnesota Supplier Portal (SWIFT)","","","MN","","United States","","Top-level government account record for Minnesota.","Item Created"
"001V400000dOSjRIAW","012V400000176JRIAY","State of Mississippi","Government","Government","Government","Mississippi","MS","","https://www.usa.gov/states/mississippi","False","","","","https://www.ms.gov/dfa/contract_bid_search","","False","","","Mississippi Bid Search Portal","","","MS","","United States","","Top-level government account record for Mississippi.","Item Created"
"001V400000dOSjSIAW","012V400000176JRIAY","State of Missouri","Government","Government","Government","Missouri","MO","","https://www.usa.gov/states/missouri","False","","","","https://missouribuys.mo.gov","","False","","","MissouriBUYS – eProcurement System","","","MO","","United States","","Top-level government account record for Missouri.","Item Created"
"001V400000dOSjTIAW","012V400000176JRIAY","State of Montana","Government","Government","Government","Montana","MT","","https://www.usa.gov/states/montana","False","","","","https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=StateOfMontana","","False","","","eMACS – Montana Acquisition & Contracting System","","","MT","","United States","","Top-level government account record for Montana.","Item Created"
"001V400000dOSjUIAW","012V400000176JRIAY","State of Nebraska","Government","Government","Government","Nebraska","NE","","https://www.usa.gov/states/nebraska","False","","","","https://das.nebraska.gov/materiel/purchasing/bid-opportunities.html","","False","","","Nebraska DAS Purchasing – Bid Opportunities","","","NE","","United States","","Top-level government account record for Nebraska.","Item Created"
"001V400000dOSjVIAW","012V400000176JRIAY","State of Nevada","Government","Government","Government","Nevada","NV","","https://www.usa.gov/states/nevada","False","","","","https://nevadaepro.com","","False","","","NevadaEPro – Electronic Procurement","","","NV","","United States","","Top-level government account record for Nevada.","Item Created"
"001V400000dOSjWIAW","012V400000176JRIAY","State of New Hampshire","Government","Government","Government","New Hampshire","NH","","https://www.usa.gov/states/new-hampshire","False","","","","https://apps.das.nh.gov/bidscontracts/bids.aspx","","False","","","NH Statewide Bids & Proposals","","","NH","","United States","","Top-level government account record for New Hampshire.","Item Created"
"001V400000dOSjXIAW","012V400000176JRIAY","State of New Jersey","Government","Government","Government","New Jersey","NJ","","https://www.usa.gov/states/new-jersey","False","","","","https://www.njstart.gov","","False","","","NJSTART – New Jersey eProcurement","","","NJ","","United States","","Top-level government account record for New Jersey.","Item Created"
